Review_name,Review_content,Date_of_review,Type_of_wine
2016 Famiglia Castellani Chianti Classico Reserva,It seems like people around the wine world are talking a lot about Chianti Classico at the moment. I know one of my favorite wine writer. Eric Asimov from the NY Time. is a huge fan of them right now. We’ve always enjoyed them as wel. finding a lot of quality at great price. so figured it was worth tasting this 2016 vintage bottle that appeared at our Costco. It comes the Castellani Famil. which has produced wine in Tuscany for more than 150 years. The price was $13.99 at Costco which is pretty good. Retail seems to be around $2. and online you can score the bottle for a few bucks less than that. And there’s a nice big Suckling 93 point score on the placard. 2016 was an excellent year for Italian wine so I was a little surprised to see one still lingering around. And it wa. as I hope. drinking perfectly right now with a little age starting to form. The wine pours a medium ruby going toward medium garnet in the glass; there’s pepper and cherry on the nose which is dusty and earthy; the wine is medium in body with soft tannin. good acidity; super delicate and elegant at this stage. In the mouth flavors of spicy cherr. red berry; dry and dusty into the finish. I really enjoyed this win. and if I was drinking it blind and you told me it was a young Brunello I wouldn’t have been surprised at all. Quite a nice Costco wine buy for $14.00 that we will add to our Top Picks list. CostcoWineBlog.com Rating: 91 points (a Costco Wine Top Pick. Costco item number: 125563. Purchased at Costco in: Atlant. GA (Kennesaw). Alc. 13%,"June 26, 2021",Italian
Veuve Clicquot Brut Champagne Yellow Label,As we’ve been drinking more Champagn. I’ve been wanting to buy a bottle of Veuve Clicquot to see how it stacks up.  I’ve had a few bottles over the years and have always enjoyed them. . This Champagne is widely available and almost always in stoc. at least in the stores around the Atlanta area.  We are big fans of the Kirkland Champagne that can be scored for $2. so the question becomes how big is the jump in quality to justify not buying a two pack of Kirkland Champagne for a few bucks less. Costco’s price on Veuve Clicquot is $48.99 which I’d like to see a bit lower (I know it used to be $46 at Costco).  It’s fairly easy to find this bottle for that price elsewher. including Total Wine that matches Costco’s price.  So this is one of those semi-rare instances where we’re not getting any price advantage buying the bottle at Costc. which is a bummer. The wine howeve. is delicious and perhaps a bit better than I expected.  It really is a perfectly balanced sparkling wine that is cris. flavorfu. interestin. complex and hard to put down.. This wine is a medium gold in glass with citrus fruit on the nose; flavors of lemo. pear and green apple with a touch of macadamia nut; it is medium in body with a gentle effervescence; ultra dry in the finish.  Really a beautiful Champagne. This is certainly not an everyday bottle given it’s price poin. but should be a contender for those special occasions when you want something really nice.. We’ll be adding to our Top Picks list and will look forward to the next time we have a chance to taste it.  Until the. we’ll probably float back down to the Kirkland Champagne which is a treat in itself. CostcoWineBlog.com Rating: 92 points (a Costco Wine Top Pick. Costco item number: 8568. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 12%,"June 16, 2021",French
2018 Willamette Valley Vineyards Dijon Clone Chardonnay,There’s an interesting story behind this wine as evidenced by the clue in its name “Dijon Clone.. Willamette Valley Vineyards founder Jim Bernau travelled to Burgundy France in the 80’s and brought back these vines for use in Oregon vineyards where he expected they might also thrive. And based on my tasting on this bottl. thrive is definitely the right word. I wasn’t sure what to expect but this turned out to be a delicious blend of the old and new worlds of wine. Super pure and clea. just the style of Chardonnay that I enjoy the most as long-time readers will know. The wine pours a medium gold in the glass; lemony citrus fruit with a hint of vanilla on the nose; in the glass is more lemo. apple and apricot flavors; super clean fruit that shines through with nice acidity. Juicy and minerally in the finish. This one is definitely on more of the clean frui. pure side of Chardonnays vs the overly oaky and buttery.The wine has plenty of depth and complexity to remain interestin. and it is certainly food friendly as well. Retail price is around $25 so Costco’s price of $15.99 makes this a fantastic buy. I’m going to put this on our Top Picks list as it’s one of the better Chardonnays from Costco that I’ve tasted recently in this price range. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 281. Alc. 13.5%. This wine was received as a sample for the purpose of writing this review. All reviews are written at the discretion of the individual reviewer. Opinions of the reviewer do not necessarily reflect those of CostcoWineBlog.com as a whol. and reviewers are not paid for their reviews by wineries or their affiliated distributors. We at CostcoWineBlog.com believe that wine preferences and opinions are often subjective and highly individualistic. Our scores are based on our individual perception of a wine and how well it reflects the area in which the grapes are grow. the expression of the grape. and also the quality of the finished product. We remind readers that we are 100% independent of Costco Wholesale Corporatio. and are simply of a group of Costco wine fans looking to try new wines and share our favorites with this community.,"May 8, 2021",Chardonnay
2018 Kirkland Signature Suscol Vineyard Napa Valley Cabernet Sauvignon,I was so happy to finally find this bottle last night.  There’s been a lot of discussion among readers nationwide who saw this one arrive in their stores before it made it’s way here.  The feedback has been extremely positive and I was curious what Costco could pack into a single vineyard Napa Cab for $17. Suscol Vineyard was of particular interest to me because I knew Nickel and Nickel created wines from ther. and pretty much anything they touch is gold.  Cakebread makes wines from there too and both will run 3-4X times the price of this Kirkland bottle. Plus we just reviewed the standard Kirkland Napa Cabernet which is available for $15. We thought that wine was pretty good and went 88 points.  But the question is whether it’s worth $2 more for the Suscol? The answer is a resounding ye. in our opinion. The wine pours a deep ruby in the glass with lots of spic. earth and dark berry on the nose; in the mouth is mostly dark frui. blackberr. blueberry and plum with notes of dark chocolate; the wine is spicy into the finish with dry acidity. . This is a very nice wine with ripe fruit that is still very young; popping it in the decanter isn’t a bad idea if you’re drinking it now but it will fun to lay a few of these down and see how they develop.. 2018 was a great vintage for Napa and this wine has all the pieces of a great wine.  We bought thre. drank on. and plan to cellar the other two for a bi. and will report back on their progress in the future. All in al. this is a great Costco wine find that Napa drinkers need to jump on.  Adding to our Top Picks list. CostcoWineBlog.com Rating: 91 points (a Costco Wine Blog Top Pick. Costco item number: 149180. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 14.5%,"April 21, 2021",Cabernet Sauvignon
Langlois Chateau Cremant de Loire Brut,We drink a fair amount of bubbly wine at our house. It just goes with anythin. any mea. anybody. Long time readers know that we love the Kirkland Champagne for $19.99. That’s real French Champagne at an almost unheard of price. We were excited to see another French bubbly hit our Costco store. this time from the Loire Valle. of which we are also big fans. The price was right at $15.9. compared to a retail price closer to $23. I always gravitate toward these French Cremants when looking for values in sparkling wine. Prosecco can be nice from time to tim. but can also get a little bland and boring after a while. French Cremants are a few bucks mor. but typically bring a nice bump in quality. I particularly like the ones from Loire. This wine is an interesting blend (very Loire) of Chenin (60%. Cabernet Franc (20%) and Chardonnay (20%). A fun fact I discovered is that Langlois Chateau is owned by Bollinger of Champagne fame. Wine Enthusiast also gave the bottle 90 points. The wine pours a pale yellow to straw in the glass with a little mineral and citrus fruit on the nose; mostly pea. sour green appl. with a little white peach flavor. Delicate in the mout. nice effervescence. Finishes cris. a super solid bubbly for the price. We are going to match the 90 point that we gave the Kirkland Champagne on our last tasting of it. Both are superb sparkling wine. and depending on the moo. I’d be very happy with either one. CostcoWineBlog.com Rating: 90 points (a CostcoWine Top Pick. Costco item number: 109951. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 12.5%,"April 14, 2021",French
2017 Cambria Julia’s Vineyard Pinot Noir,It’s been a long tim. more than six year. since we last reviewed the Cambria Julia’s Vineyard Pinot Noir. But that was certainly not the last time we’ve tasted this wine as it is on my go-to list for value Pinot. It’s just not always available at Costco so scoop it up when you find it. When we last reviewed the 2012 vintage that we purchased at Costco for $2. we found it to be really good value. Retail price on this wine seems to be around $24-$25. The good news on this 2017 vintage in stores now is that the price was down to $16.9. which totally caught me by surprise. What a deal for this bottle. Plu. Wine Enthusiast gave the wine a huge 94-point rating and listed it as an Editor’s Choice. Let’s get into what’s inside. This wine is from Santa Maria Valley in Santa Barbara Count. and proudly states the certified sustainable farming designation on the front of the label. The color is a pale rub. very much on the pale side. It pours light but that’s not an indicator for what’s coming. It’s the nose that gets you right away. The aromas are super vibrant; fresh berrie. spice and earth. Nice depth in the mouth with cherr. col. strawberry flavors; toasty in the finish with a nice peppery spice and a little vanilla. Excellent win. and an amazing value. So now the question i. how does this stack up to the other Pinots in Costco right now that we’ve reviewed. Wel. we’re going 90 points on this on. which is the same as the recently reviewed Kirkland Willamette Pinot although these are two different wines. This Cambria bottle is ideal for fans of a more traditional Pinot. The Willamette bottle is a Pinot ideal for fans of bigger red wines. Both great bottle. just a little different. I enjoyed them both a little more than the latest Kirkland Russian River Pinot but still hold the Balletto Pinot Noir as the one to bea. albeit slightly upstream in pric. but what a delicious wine. Regardless of the nuance. every wine I just listed is a solid be. this Cambria being among the top of the pack. Explore and let us know what you like the best. CostcoWineBlog.com Rating: 90 points (a Costco WineTop Pick. Costco item number: 4530. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 14.2%,"April 10, 2021",Pinot Noir
2018 Kirkland Signature Willamette Valley Pinot Noir,It’s nice to see this Kirkland Pinot return to store shelves in the latest 2018 vintage. This bottle is a reader and personal favorite among the Kirkland wine portfolio. There are a few important things to note that are carried over from the prior 2017 vintage. First is the price which has stayed the same at $14.9. which we think it totally fair for a wine of this caliber. Next is the winemake. Sarah Cabo. who also made the previous vintage. Here’s a story we found with a little more info about her. Given how much we enjoyed the 2017 vintag. when we saw her name on the back of the 201. we figured we were in for more of the same. And that turned out to be the case. My tasting notes are very similar to the prior vintag. but in the en. I ended up enjoying this bottle a little more. It’s a great Pinot buy for $15. This wine pours a pale to medium ruby with juicy cherry on the nose; more cherr. and cola flavor in the mout. with a touch of Dr Peppe. some boysenberr. little spic. a little oak. The fruit is really vibrant and youthful and the wine is very pleasant throughout. Clean through the finish. Just well made. We went 89 points on the last vintage but I’m bumping this up to 90 with this new 2018 vintage. I much prefer this to the current vintage of the Kirkland Russian River Pinot and it’s perhaps a slight notch up from the Carneros Pinot that we also really enjoyed recently. Of the Kirkland Pinots out there right no. I think that this is the one to buy. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 97527. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 13.6%,"April 7, 2021",Kirkland Wines
2016 Kirkland Signature Barolo,We heard from readers a week ago that the 2016 vintage of the Kirkland Barolo was showing up in store. and that was music to our ears. The 2015 vintag. which came out exactly a year ag. was the inaugural vintage of this new Kirkland win. and we welcomed it with open arms. The price then was $19.99 and the wine was deliciou. earning an easy 92 point rating from us. I think this is one of those rare instances where our scores align with wine pro James Sucklin. who according to the Costco placar. awarded both the 2015 and 2016 vintage 92 points. The first question with the arrival of the new vintage was whether the price would increase. Happil. it did no. staying strong at $19.99 which is a steal for a Barolo of this caliber. I wrote this year’s tasting notes without reviewing my notes on the ’1. and they turned out almost identical. Both ’15 and ’16 were strong vintages for Barol. and both bottles are an excellent expression of them. If you enjoyed the previous vintag. I imagine you will love this one as well. This wine pours a pale garnet in the glas. lightly see through; juicy cherry on nose with flavors of earthy black cherry in the mouth along with notes of anise; some toast and vanilla into the finish. The wine is medium plus to full in bod. and finishes dust. dry and lingering. The first word that came to mind after I finished my first glass was “exquisite.” This is a really an excellent wine and amazing at this price. There’s good aging potential here too so I might try to pop one in the cellar for a Cellar Series write up down the line. I think it will be interesting to taste again in 5-10 years. My rating is staying the same at 92 point. and obviously this will appear on our Top Picks list. You might want to scoop up a few of these while you have the chanc. as they might move pretty fast. CostcoWineBlog.com Rating: 92 points (a Costco Wine Top Pick. Costco item number: 135518. Purchased at Costco in: Atlant. GA (Kennesaw). Alc. 14. NOTE: in case you missed i. and if you love Kirkland wines like this Barol. don’t miss our recently updated mega-stor. The Definitive Guide To Costco’s Kirkland Signature Wines. NOTE 2: if you love Italian wines and want a quic. fu. easy to read and super informative guide to Italian wine region. varietals and wine-making practice. don’t miss our book: Decoding Italian Wine.,"March 20, 2021",Italian
2018 Oberon Cabernet Sauvignon,Finding good quality Napa Cabernet under $20 is always a challenge. It’s out ther. but there are a lot of mediocre offerings spread among the good one. so it’s a constant hunt. Costco’s Kirkland Cabs are usually a goo. safe entry point. Oberon is one of those names you should put on your radar too. In addition to this Napa County Caberne. they make excellent Merlot and Sauvignon Blanc. Costco’s price on the Cab was $19.69 which is goo. not grea. considering retail is around $2. and online it’s $21-$22. Note we said Napa County in the preceding paragrap. not Napa Valley. Napa County means the grapes were sourced from all over Napa Count. not just the Napa Valley designated AVA. It’s just something to not. and there are so many great vineyards all around Napa Count. not just in Napa Valley. Napa Valley just has the cachet of that specific AVA. It’s evident from the moment you taste this one that this is high quality juice regardless of where in the County the grapes came from. Something else to note is that this wine is actually a blend of 92.7% Cabernet Sauvignon and then 7.3% of Petite Verdot and Zinfandel. I didn’t realize that until after I had tasted i. and the blending varietals weren’t super noticeable to m. perhaps just contributing to the overall depth that I found impressive for this wine at this price. It pours a deep ruby to deep purple in the glass with wild berry and spice on the nose; the wine is nice and full in body with a contrast of red and dark frui. cherr. raspberr. along with blackberry; hints of dark chocolate and mocha; dry into the finish. This is a great buy for CA Cab fans and exactly what I was hoping this wine would be. I’d probably still opt for the Kirkland Oakville or Kirkland Stags (ye. the Stags is still around; spotted it last weekend) for around the same pric. but all of these are right there in the same ballpark. See what you like the bes. and feel free to share in the comments below. Cheers. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 41382. Purchased at Costco in: Atlant. GA (Kennesaw). Alc. 13.7%,"March 17, 2021",Cabernet Sauvignon
2013 Casa de Santar Reserva Red Blend Portugal,There are a lot of places throughout Europe to find good red wine values. A few of my go to’s are Rioja/Ribera/Toro in Spai. Chianti/Barbera in Ital. Rhone/Cru Beaujolais in France. And Portuguese wines definitely fit the bill. They consistently overdeliver at very reasonable price points. The challenge is that they just aren’t prevalent enough. My Total Wine store carries just a handful (mainly whites and a small selection of red. but that’s starting to slowly increase). In all the years of running this sit. we only occasionally find red wines from Portugal at Costco (2-3 a year it seems). So this was an easy drop in the cart; a Portuguese red blend for $13.9. with a little age on it. The bottle has a nice card around its neck showing off all the high scores the wine receive. including a 92 from Wine Enthusiast who named it a “Cellar Selection.. The blend here is 50% Touriga-Naciona. 25% Aragone. and 25% Alfrocheiro. I knew Touriga-Naciona. which is one of the most popular red varietals for Portugal but had to do a little research on the others. Aragonez is also called Tinta Roriz and is actually the same grape as Tempranillo. Alfrocheiro (Preto. also known as Tinta Bastardinh. is a deep colored grape frequently used in blends. And some of that deep color was evident on the pour where the wine showed a medium to deep purple color; nose of spicy black cherry; this is a big and full bodied wine; flavors of mostly dark frui. boysenberry and blueberry with dark chocolate notes; nice acidit. dry into a finish that last forever. This is a very nice wine that we liked immediately out of the bottle but one that got even better as it decanted. Try to let it breath 30-60 minutes before drinking it if you can. Overal. a solid Costco wine pick and a great representation of the immense value you can find in Portuguese wines today. This will be added to our Top Picks list. CostcoWineBlog.com Rating: 92 points (a CostcoWineBlog Top Pick. Costco item number: 148755. Purchased at Costco in: Atlant. GA (Perimeter. Alc. 14%,"March 13, 2021",Other Red
2017 Joseph Phelps Freestone Pinot Noir Sonoma,Joseph Phelps is one of my top ten wine producers from Californi. and it is a nice surprise to see their Freestone Pinor Noir from the Sonoma Coast hit Costco shelves. You’ve probably seen their high-end red blen. the Joseph Phelps Insigni. hanging around stores too for $20. which is a very good price on one of Napa’s top bottlings. This Pinot Noir is also not an inexpensive wine at Costco for $33.9. but that is a huge discount considering retail price is $6. and online it is around $5. even at K&amp;L Wines who is always among the most competitive online. This wine pours a pale ruby in the glass with grape jam on the nose; nice mouthfee. medium in bod. this wine is just classy all around. Flavors of cherry and blueberry with lingering dark chocolate notes and a little spice. Wraps up with a perfec. lasting finish. This bottle is pure elegance in Pinot Noir and I just couldn’t get enough. It also scored big with the mainstream wine critic. including receiving a huge 96 points from Wine Enthusiast. If your wine budget allows you to extend to the $30 price rang. this is a perfect pic. and nice choice for a special dinner or occasion. Costco did a great job bringing this one to us for almost half of retail. CostcoWineBlog.com Rating: 93 points (a Costco Wine Top Pick. Costco item number: 39468. Purchased at Costco in: Atlant. GA (Perimeter) Alc. 14%,"March 6, 2021",Pinot Noir
2019 Kirkland Signature Sancerre,It’s always exciting when there’s a new addition to the Kirkland Signature portfolio of wine. and we’ve seen a few good ones over the past 12 months. There was the new K Vine Kirkland wines (Chardonnay and Rosé) from Charles Smit. and the Kirkland Barolo that come to mind. This Sancerre is definitely on the list of winners to. and I hope we see this one in regular rotation in future vintages. Sancerre is a wine region in the Loire Valley of central France where the white wines from are made from Sauvignon Blanc. So like most French bottle. the label specifies the region not the varieta. and sometime. as is the case her. you get a bit more information on the back label.. French wine is always a study in geography. A lot of the Sancerre wines you see are priced between $20-$3. so I think Costco brought this one in at the right price point of $15.99. This was confirmed once we started tasting it too as this proved to be a very nice expression of Sauvignon Blanc. The wine poured a medium straw in colo. pretty light in the glass; fairly muted on the nose with subtle hints of orange peel and citrus fruit; in the mouth though is where the wine really started to shine with nice citrus fruit flavo. aprico. lemo. a little grapefruit; nice acidity and minerality with a touch of vanilla into the finish. This bottle is a very welcome addition to the Kirkland wine famil. and we’re excited to see what future vintages might deliver. Since it’s early Marc. it’s unlikely these are going to be hanging around stores when the weather warms u. so I’m planning on buying a few to hold on to for the summer months. CostcoWineBlog.com Rating: 90 points (a CostcoWineBlog Top Pick. Costco item number: 147605. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 13%,"March 3, 2021",French
2016 Les Allies Chateauneuf-du-Pape,I know there are a lot of you Chateauneuf fans out there who are like me and are waiting for the next vintage (2019) of the Kirkland Chateauneuf to arrive in stores. I’m projecting that we will see it in the May-June timefram. if past history is any indication. That bottle is always interesting in that the super reasonable $20 price tag ($21 last year) provides access to this famed area of Rhone for less than almost anywhere else. So while we’re waiting for that on. I thought it be fun to taste test this $30 Chateaneuf that I’d never had before. $30 for a Chateauneuf is still a good deal if the wine inside is tasty. I noticed the 91 points on the Costco placard from Wine Spectator and was curious how it would hold up. This wine is 65% Grenach. 20% Mourvèdre and 15% Syrah from what I could gather online. I found a retail price of $45 but then the more I clicked around the better it got onlin. with some stores selling it for as low as $2. which surprised me. The wine pours kind of a deep garne. and it looks older in the glass with a little rust color starting to develop around the edges. 2016 was an excellent vintage so I was anxious to see how it was drinking right now. Signature Chateaneuf-du-Pape on the nose; earth. herba. wild berry. In the mouth flavors of plu. pomegranat. black licorice and black cherry; it’s acidic and dry in the finish which sticks around forever. This is a very nice wine at a pretty attractive price. I get skeptical when bottles from premier regions are priced too lo. but this one came through. This recent Costco Barolo did too. There’s lots to like here for Rhone fan. and this wine is drinking really nice right now. You of course can lay these bottles down for a while too if you prefer. It’s likely to develop even more in the next 5-7 years. We’ll be putting this one for sure on our Top Picks list. CostcoWineBlog.com Rating: 91 points (a Costco Wine Blog Top Pick. Costco item number: 147169. Purchased at Costco in: Atlant. GA (Perimeter). Alc. 15%,"February 10, 2021",French
2018 Ridge Three Valleys Sonoma Red Wine,Ridge is hands down one of my favorite U.S. wine producers so when I see one of their distinct labels hit Costco shelve. it’s like finding a treasure for me. And this bottle especially because it is a wine from Ridge that I’ve never tasted befor. and Costco’s price was right on the mark. Finding anything from Ridge for $20 is a score. Their Zins are in the $30s and up. Most of their other wines are more expensive than that. This wine came in at $19.99 at my Costco. It’s $24-29 online and $30 at Total Wine. Ridge is known for their amazing Zin portfoli. and this Sonoma red blend is led by Zinfandel. The varietal breakdown is 70% Zinfande. 14% Petite Sira. 12% Carignane and 4% Mataro. For Zin fan. this is a no brainer but fans of red blends should take note too. While this wine exudes Zin characteristic. it is also masterfully blended to create a very accessibl. very enjoyable red wine that I think will appeal to a lot of palates and could pair with many different types of food. This wine pours a medium ruby with a little purple; it has an aromatic nose of flower. spice and plum. It is delightful in the mouth with silky tannin. medium in body; flavors of black cherr. blueberr. blackberr. and a little jam; there’s a touch of oak on the toasty finish. This wine is well mad. well balance. and just what I hoped for from Ridge in a Sonoma blend. They are just so consistent. Although their wines are not inexpensiv. they always deliver high quality for the pric. at least in my opinion. I’d encourage readers to look for their Estate Ca. Chardonna. and of cours. any of their Zins. If you want to really go nut. the Ridge Monte Bello ($250. from the Santa Cruz mountain. is one of the most unique and beautiful California Cabs out there. But to finish up on this blen. this is a great price on a really impressive win. and one that will earn a spot on our Top Picks list. Nice job Costco bringing this bottle in. CostcoWineBlog.com Rating: 91 points (a Costco Wine Blog Top Pick. Costco item number: 75161. Purchased at Costco in: Atlant. GA (Perimeter. Alc. 14.5%,"February 3, 2021",Other Red
2018 Duckhorn Decoy Sonoma Red Wine,These are always fun wines to try so I was looking forward to popping open this Decoy Red from Sonoma. Deco. as many of you kno. is a second win. turned second bran. of Duckhorn Vineyards and they are priced well below those “first” wines that carry the Duckhorn name. We’ve reviewed several of the past vintages of this win. with scores getting increasingly better. The 2013 we went 88 points; for the 2014 we went 89 point. and now we’re up to 2018 and we’re going to keep the progression going as I felt this wine was worthy of breaking into that 90 point threshold. Before we get into the win. let’s look at the pric. which has stayed fairly consistent at Costco at $16.99. It went up a hair with the 2014 vintage and is now back at 2013 prices. On the Decoy sit. the retail is $25. It’s $17 at my Total Win. matching Costco. And online it ranges from $15-$20. It seems like Costco could offer this at a little bit more of a discounted price to beat the big box stores. Looking at what’s inside the bottl. there’s not a varietal breakdown listed on the label but online I was able to find it: 52% Cabernet Sauvigno. 37% Merlo. 6% Petite Sira. 2% Zinfande. 2% Carignan and 1% Syrah. In the glass this wine pours a medium purpl. with a floral nose with wild berry aromas; big cherry flavor with raspberry and pomegranate; red licoric. more Nibs vs Twizzler. with a touch of vanilla into finish. This is a youthfu. vibrant wine that is nice and pleasant throughout.If you like red blends from Californi. this is a nice representation of the quality you can get when you spend $15-$20 vs under $10. We will add to our Top Picks as this might be the best vintage of this wine that we’ve reviewed. Even though we’d like to see a slightly lower Costco pric. it’s absolutely worth buying at $17. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 88907. Purchased at Costco in: Atlant. GA (Perimeter. Alc. 13.9%,"January 30, 2021",Other Red
2019 Finca Sophenia Altosur Malbec,I always love trying new Malbecs that pop up at Costco and this one turned out to be quite a find. The price was right at only $7.89. Online it looks like the retail price of this wine hovers around $10-1. so Costco is offering the bottle at a decent discount. It certainly tasted like it cost more. This wine is a medium purple in colo. with a nose of wild berry and some mineral. Cherry flavor in the mouth with a bit of blackberry and plum; there’s a nice red/dark fruit contrast that I always like. It is medium to medium plus in bod. delicate and light in the mouth with a nice sticky finish. Overal. a very elegant and well balanced expression of Malbec that is surprising to find at a such a reasonable price. You’ll note on the Costco placard sign that the wine received 92 points from Sucklin. and 93 points on the previous vintage. Online I found a few other ratings that were in the 89-90 point rang. which is about where I feel it belongs. This bottle is really a good value for only $7.89 and Mendoza Malbec fans should stock up as I think they will find a lot to like. I could easily have spent $20 on this same wine and been happy. This one will go on our Top Picks list for sur. and is likely one of the lowest price wines we’ve put on our recommended Costco wine list in some time. CostcoWineBlog.com Rating: 90 points (a Costco Wine Top Pick. Costco item number: 144805. Purchased at Costco in: Atlant. GA (Kennesaw) Alc. 14%,"January 27, 2021",Malbec
2016 Pagodes de Cos St Estephe Bordeaux,I love it when Costco carries these second wines from top estates. In this cas. we’re tasting the second bottle from Chateau Cos d’Estourne. whose main estate grand vin is $200-$250. So accessing this world class property for under $50 is a pretty good way to go. I still would like to see Costco’s price of $48.99 get more competitive though. This same bottl. same vintag. is available at Total Wine for the same price and online for about the same as wel. both within that $47-$49 range. Knowing thi. I almost hesitated buying i. but I love this estate (even had the privilege of visiting the winery a year and half ago) and thought this would be a fun one to add to the site. The blend is 50% Cabernet Sauvigno. 46.5% Merlo. 3% Petit Verdot and 0.5% Cabernet Franc. Very precise on the Merlot and Cab Franc. It’s also highly rated pretty much across all the critics with Suckling going 94 points and Wine Enthusiast giving it 93 points. Wine Advocate and others are all in the 91-93 range too. The wine pours a deep purple in the glass with an aromatic nose of raspberry and plu. a little barnyard; then more black cherry and dark fruit flavor in the mouth; medium plus to full in body. Amazing lasting finish that just digs in and won’t let go; a memorable wine in every way. As far as Bordeaux goes in this price rang. this drinks at the top of the class and not far off from other estate’s first bottles. 2016 was an excellent year to. and this bottle really is a gift of the vintage from a top tier estate at a pric. that is not inexpensive of cours. but more than fair for what you get. Note that Cos d’Estournel’s first wine in this same 2016 vintage received 100 point scores almost across the board. I’m a huge fan of this second bottle at this price point. Highly recommen. and it’s a must buy for Bordeaux lovers. CostcoWineBlog.com Rating: 93 points (a CostcoWineBlog Top Pick. Costco item number: 130870. Purchased at Costco in: Atlant. GA (Perimeter). Alc. 13%,"January 23, 2021",French
2016 Jim Barry Lodge Hill Shiraz,I was really excited to find this wine at Costco as I’ve tasted it several times before in previous vintage. and have always loved it. You can’t beat a favorite like this showing up at Costc. and of course the price was right at only $13.89. The retail price on the wine is closer to $20 and you can find it online a few bucks cheaper than tha. but I’ve never seen it at Costco’s price anywhere else. If yo. like m. have tasted this one befor. stock up while you can because someone in the know is going to see this and buy these up fast. This wine is super consistent year to yea. always overdelivering and always providing a delicious and elegant expression of Aussie Shiraz. Add on top of that the wine is a 2016 vintage that is drinking perfectly right no. and you’re ready to unscrew this one and put it down the hatch. The wine pours a medium to deep purple in the glass with fresh red fruit and a little spice on the nose. The wine is medium in body in the mouth with juicy red frui. licorice and plum flavor; showing a nice contrast between red and dark fruit which I always like. It is acidic and dry into the finish with more peppery spice. Elegance is the key word here. This is not an over the top bold spicy Shira. as some of these Aussie bottles can be. It’s a versatile food win. it’s highly rated (even pulling down 93 points from James Suckling) and one where I really enjoyed every sip. A great buy at this pric. and a wine that we will add to our Top Picks list. CostcoWineBlog.com Rating: 91 points (a Costco Wine Blog Top Pick. Costco item number: 97612. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 14.2%,"January 9, 2021",Other Red
2014 Covalli Barolo,Earlier this year we saw the introduction of a Kirkland Signature Barolo for $20 that we loved.  Who would guess that a few months late. Costco would stock another Barolo priced even lower than that. Barolo wines just don’t get priced this low so I was a little skeptical going i. but also excited at the prospect that this might be a great find.  Suckling gave the wine 91 points.  Retail price looks to be about $30 and it’s available online for $25.  So Costco’s price is really good. This is a 2014 vintage (the Kirkland Barolo was 2015. and this wine is ready to drink now; all the aging is done for you.  My tasting notes are super similar to the Kirkland Barol. and in the end I’m going to say they are both right in the same ballpark in terms of quality. This wine pours a medium garnet in the glass showing it’s got a little age on it; nose of liqueur and black licorice.  I love how Barolos feel in the mout. lighter in body but with massive flavor. Big spicy cherry flavor.Acidic and dry into the finish. The spice really sticks around. What a find for $15.  I rated the Kirkland Barolo 92 point. and am going to bring this one in just a tad lower at 91 and will add to our Top Picks. . Barolo just isn’t priced this lo. ever.  So I’m sure a few of you were skeptical as wel. but I like what we tasted.   This is a great score at Costco right no. and definitely a bottle that surprised me. CostcoWineBlog.com Rating: 91 points (a CostcoWineBlog Top Pick. Costco item number: 145382. Purchased at Costco in: Atlant. GA (Kennesaw. Alc. 13.5%,"January 6, 2021",Italian
